TradeID,ScripName,BuyDateTime,SellDateTime,BuyPrice,SellPrice,PnL,ExitReason
1,MIDCPNIFTY23JUL8400PE,2023-07-21 14:55:00,2023-07-24 10:20:00,47.35,25.95,-2568.0,EMA_REVERSAL
2,MIDCPNIFTY23AUG8500CE,2023-08-03 14:55:00,2023-08-04 13:30:00,300.0,300.0,0.0,EMA_REVERSAL
3,MIDCPNIFTY23AUG8600CE,2023-08-08 14:55:00,2023-08-09 09:30:00,223.7,223.7,0.0,EMA_REVERSAL
4,MIDCPNIFTY23AUG8500PE,2023-08-16 14:50:00,2023-08-17 09:15:00,60.0,50.0,-1200.0,EMA_REVERSAL
5,MIDCPNIFTY23AUG8600CE,2023-08-17 14:50:00,2023-08-18 10:05:00,85.05,86.9,222.0,EMA_REVERSAL
6,MIDCPNIFTY23AUG8600PE,2023-08-18 15:25:00,2023-08-21 09:15:00,89.1,95.0,708.0,EMA_REVERSAL
7,MIDCPNIFTY23AUG8500PE,2023-08-21 15:05:00,2023-08-22 09:20:00,31.65,23.5,-978.0,EMA_REVERSAL
8,MIDCPNIFTY23AUG8700CE,2023-08-22 15:00:00,2023-08-23 15:10:00,47.4,92.0,5352.0,EMA_REVERSAL
9,MIDCPNIFTY23AUG8700PE,2023-08-25 15:15:00,2023-08-28 09:20:00,11.5,27.3,1896.0,EMA_REVERSAL
10,MIDCPNIFTY23SEP9000CE,2023-08-31 15:10:00,2023-09-01 10:00:00,124.25,124.25,0.0,EMA_REVERSAL
11,MIDCPNIFTY23SEP9100PE,2023-09-18 14:50:00,2023-09-20 11:20:00,73.35,60.35,-1560.0,EMA_REVERSAL
12,MIDCPNIFTY23OCT9100PE,2023-09-26 14:50:00,2023-09-27 11:05:00,199.0,199.0,0.0,EMA_REVERSAL
13,MIDCPNIFTY23OCT9200CE,2023-09-27 15:25:00,2023-09-28 09:40:00,199.0,200.0,120.0,EMA_REVERSAL
14,MIDCPNIFTY23OCT9100PE,2023-10-03 14:50:00,2023-10-04 14:10:00,235.0,235.0,0.0,EMA_REVERSAL
15,MIDCPNIFTY23OCT9000PE,2023-10-09 15:20:00,2023-10-10 09:20:00,129.25,148.9,2358.0,EMA_REVERSAL
16,MIDCPNIFTY23OCT9100PE,2023-10-11 15:15:00,2023-10-12 09:15:00,245.05,245.05,0.0,EMA_REVERSAL
17,MIDCPNIFTY23OCT9100PE,2023-10-13 14:50:00,2023-10-16 10:05:00,245.05,245.05,0.0,EMA_REVERSAL
18,MIDCPNIFTY23OCT9100PE,2023-10-16 15:00:00,2023-10-17 09:20:00,61.8,97.9,4332.0,EMA_REVERSAL
