TradeID,ScripName,Type,Side,SellDateTime,BuyDateTime,SellPrice,BuyPrice,PnL,ExitReason
1,MIDCPNIFTY23JUL8200PE,PE,SHORT,2023-07-12 14:20:00,2023-07-19 09:20:00,82.6,29.8,6336.0,TARGET_LTP_30
2,MIDCPNIFTY23JUL8300PE,PE,SHORT,2023-07-19 14:00:00,2023-07-20 10:20:00,40.0,29.25,1290.0,TARGET_LTP_30
3,MIDCPNIFTY23JUL8400PE,PE,SHORT,2023-07-20 14:00:00,2023-07-21 15:15:00,49.6,26.3,2796.0,TARGET_LTP_30
4,MIDCPNIFTY23JUL8400PE,PE,SHORT,2023-07-21 15:20:00,2023-07-21 15:25:00,27.0,25.95,126.0,TARGET_LTP_30
5,MIDCPNIFTY23AUG8600CE,CE,SHORT,2023-08-09 14:00:00,2023-08-11 11:00:00,150.0,170.0,-2400.0,EMA_REVERSAL_SL
6,MIDCPNIFTY23AUG8500PE,PE,SHORT,2023-08-14 14:00:00,2023-08-17 12:55:00,75.0,54.0,2520.0,EMA_REVERSAL_SL
7,MIDCPNIFTY23AUG8600CE,CE,SHORT,2023-08-17 14:00:00,2023-08-21 12:05:00,85.1,69.95,1818.0,EMA_REVERSAL_SL
8,MIDCPNIFTY23AUG8500PE,PE,SHORT,2023-08-21 14:00:00,2023-08-21 14:05:00,20.25,22.6,-282.0,TARGET_LTP_30
9,MIDCPNIFTY23AUG8500PE,PE,SHORT,2023-08-21 14:10:00,2023-08-21 14:15:00,25.55,26.2,-78.0,TARGET_LTP_30
10,MIDCPNIFTY23AUG8500PE,PE,SHORT,2023-08-21 14:20:00,2023-08-21 14:25:00,25.85,25.4,54.0,TARGET_LTP_30
11,MIDCPNIFTY23AUG8500PE,PE,SHORT,2023-08-21 14:30:00,2023-08-21 14:35:00,24.5,25.4,-108.0,TARGET_LTP_30
12,MIDCPNIFTY23AUG8500PE,PE,SHORT,2023-08-21 14:40:00,2023-08-21 14:45:00,25.25,25.15,12.0,TARGET_LTP_30
13,MIDCPNIFTY23AUG8500PE,PE,SHORT,2023-08-21 14:50:00,2023-08-21 14:55:00,25.15,24.6,66.0,TARGET_LTP_30
14,MIDCPNIFTY23AUG8500PE,PE,SHORT,2023-08-21 15:00:00,2023-08-21 15:05:00,25.05,26.0,-114.0,TARGET_LTP_30
15,MIDCPNIFTY23AUG8500PE,PE,SHORT,2023-08-21 15:10:00,2023-08-21 15:15:00,25.0,23.9,132.0,TARGET_LTP_30
16,MIDCPNIFTY23AUG8500PE,PE,SHORT,2023-08-21 15:20:00,2023-08-21 15:25:00,24.0,23.5,60.0,TARGET_LTP_30
17,MIDCPNIFTY23AUG8600PE,PE,SHORT,2023-08-22 14:00:00,2023-08-22 14:05:00,19.95,20.1,-18.0,TARGET_LTP_30
18,MIDCPNIFTY23AUG8600PE,PE,SHORT,2023-08-22 14:10:00,2023-08-22 14:15:00,19.65,19.9,-30.0,TARGET_LTP_30
19,MIDCPNIFTY23AUG8600PE,PE,SHORT,2023-08-22 14:20:00,2023-08-22 14:25:00,19.85,20.85,-120.0,TARGET_LTP_30
20,MIDCPNIFTY23AUG8600PE,PE,SHORT,2023-08-22 14:30:00,2023-08-22 14:35:00,21.9,21.65,30.0,TARGET_LTP_30
21,MIDCPNIFTY23AUG8600PE,PE,SHORT,2023-08-22 14:40:00,2023-08-22 14:45:00,19.65,20.7,-126.0,TARGET_LTP_30
22,MIDCPNIFTY23AUG8600PE,PE,SHORT,2023-08-22 14:50:00,2023-08-22 14:55:00,21.05,19.9,138.0,TARGET_LTP_30
23,MIDCPNIFTY23AUG8600PE,PE,SHORT,2023-08-22 15:00:00,2023-08-22 15:05:00,19.4,19.6,-24.0,TARGET_LTP_30
24,MIDCPNIFTY23AUG8600PE,PE,SHORT,2023-08-22 15:10:00,2023-08-22 15:15:00,19.05,18.8,30.0,TARGET_LTP_30
25,MIDCPNIFTY23AUG8600PE,PE,SHORT,2023-08-22 15:20:00,2023-08-22 15:25:00,17.5,19.0,-180.0,TARGET_LTP_30
26,MIDCPNIFTY23AUG8700PE,PE,SHORT,2023-08-23 14:00:00,2023-08-23 14:05:00,18.25,20.0,-210.0,TARGET_LTP_30
27,MIDCPNIFTY23AUG8700PE,PE,SHORT,2023-08-23 14:10:00,2023-08-23 14:15:00,18.85,19.6,-90.0,TARGET_LTP_30
28,MIDCPNIFTY23AUG8700PE,PE,SHORT,2023-08-23 14:20:00,2023-08-23 14:25:00,21.5,21.15,42.0,TARGET_LTP_30
29,MIDCPNIFTY23AUG8700PE,PE,SHORT,2023-08-23 14:30:00,2023-08-23 14:35:00,18.85,19.75,-108.0,TARGET_LTP_30
30,MIDCPNIFTY23AUG8700PE,PE,SHORT,2023-08-23 14:40:00,2023-08-23 14:45:00,22.05,19.6,294.0,TARGET_LTP_30
31,MIDCPNIFTY23AUG8700PE,PE,SHORT,2023-08-23 14:50:00,2023-08-23 14:55:00,19.75,20.15,-48.0,TARGET_LTP_30
